
> ms-app@0.1.0 dev
> next dev

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.0.2:3000
- Environments: .env

✓ Starting...
✓ Ready in 2.6s
 GET /login 200 in 1299ms (compile: 803ms, proxy.ts: 240ms, render: 256ms)
 POST /login 200 in 275ms (compile: 6ms, proxy.ts: 21ms, render: 249ms)
 GET /login 200 in 89ms (compile: 9ms, proxy.ts: 9ms, render: 71ms)
 GET / 200 in 428ms (compile: 132ms, proxy.ts: 9ms, render: 287ms)
 POST /login 303 in 626ms (compile: 7ms, proxy.ts: 7ms, render: 612ms)
 GET /login 200 in 85ms (compile: 6ms, proxy.ts: 8ms, render: 71ms)
 GET / 200 in 182ms (compile: 5ms, proxy.ts: 6ms, render: 171ms)
 POST /login 303 in 370ms (compile: 4ms, proxy.ts: 8ms, render: 358ms)
 GET /cotizaciones/manual 200 in 1012ms (compile: 307ms, proxy.ts: 13ms, render: 693ms)
 GET /login 200 in 83ms (compile: 7ms, proxy.ts: 10ms, render: 66ms)
 GET / 200 in 138ms (compile: 5ms, proxy.ts: 5ms, render: 128ms)
 POST /login 303 in 312ms (compile: 4ms, proxy.ts: 6ms, render: 302ms)
 GET /cotizaciones/manual 200 in 232ms (compile: 8ms, proxy.ts: 10ms, render: 214ms)
 GET /login 200 in 111ms (compile: 4ms, proxy.ts: 6ms, render: 100ms)
 GET / 200 in 116ms (compile: 4ms, proxy.ts: 5ms, render: 108ms)
 POST /login 303 in 286ms (compile: 4ms, proxy.ts: 7ms, render: 276ms)
 GET /cotizaciones/manual 200 in 303ms (compile: 5ms, proxy.ts: 6ms, render: 291ms)
 GET /login 200 in 49ms (compile: 4ms, proxy.ts: 5ms, render: 40ms)
 POST /cotizaciones/manual 303 in 81ms (compile: 4ms, proxy.ts: 6ms, render: 71ms)
✓ Compiled in 239ms
 GET /login 200 in 94ms (compile: 9ms, proxy.ts: 9ms, render: 76ms)
 GET / 200 in 130ms (compile: 5ms, proxy.ts: 6ms, render: 119ms)
 POST /login 303 in 370ms (compile: 4ms, proxy.ts: 9ms, render: 357ms)
 GET /cotizaciones/manual 200 in 696ms (compile: 198ms, proxy.ts: 5ms, render: 493ms)
 GET /login 200 in 55ms (compile: 5ms, proxy.ts: 6ms, render: 44ms)
 POST /cotizaciones/manual 303 in 98ms (compile: 5ms, proxy.ts: 9ms, render: 84ms)
 GET /login 200 in 94ms (compile: 7ms, proxy.ts: 7ms, render: 80ms)
 GET / 200 in 127ms (compile: 4ms, proxy.ts: 5ms, render: 119ms)
 POST /login 303 in 303ms (compile: 4ms, proxy.ts: 7ms, render: 292ms)
 GET /cotizaciones/manual 200 in 296ms (compile: 8ms, proxy.ts: 5ms, render: 283ms)
 GET /login 200 in 43ms (compile: 4ms, proxy.ts: 5ms, render: 34ms)
 POST /cotizaciones/manual 303 in 72ms (compile: 4ms, proxy.ts: 6ms, render: 62ms)
 GET /login 200 in 68ms (compile: 5ms, proxy.ts: 5ms, render: 58ms)
 GET / 200 in 116ms (compile: 3ms, proxy.ts: 4ms, render: 108ms)
 POST /login 303 in 284ms (compile: 4ms, proxy.ts: 6ms, render: 274ms)
 GET /cotizaciones/manual 200 in 330ms (compile: 4ms, proxy.ts: 8ms, render: 317ms)
 GET /login 200 in 42ms (compile: 4ms, proxy.ts: 4ms, render: 34ms)
 POST /cotizaciones/manual 303 in 69ms (compile: 4ms, proxy.ts: 6ms, render: 59ms)
 GET /login 200 in 102ms (compile: 7ms, proxy.ts: 7ms, render: 87ms)
 GET / 200 in 122ms (compile: 4ms, proxy.ts: 5ms, render: 114ms)
 POST /login 303 in 295ms (compile: 4ms, proxy.ts: 6ms, render: 286ms)
 GET /cotizaciones/manual 200 in 226ms (compile: 5ms, proxy.ts: 7ms, render: 214ms)
 GET /login 200 in 50ms (compile: 4ms, proxy.ts: 5ms, render: 41ms)
 POST /cotizaciones/manual 303 in 78ms (compile: 5ms, proxy.ts: 8ms, render: 66ms)
 GET /login 200 in 85ms (compile: 4ms, proxy.ts: 7ms, render: 74ms)
 GET / 200 in 123ms (compile: 5ms, proxy.ts: 6ms, render: 112ms)
 POST /login 303 in 297ms (compile: 5ms, proxy.ts: 7ms, render: 284ms)
 GET /cotizaciones/manual 200 in 613ms (compile: 159ms, proxy.ts: 5ms, render: 450ms)
 GET /login 200 in 50ms (compile: 5ms, proxy.ts: 5ms, render: 40ms)
 POST /cotizaciones/manual 303 in 95ms (compile: 5ms, proxy.ts: 7ms, render: 82ms)
 GET /login 200 in 382ms (compile: 137ms, proxy.ts: 76ms, render: 169ms)
 GET /login 200 in 73ms (compile: 5ms, proxy.ts: 8ms, render: 61ms)
 GET /login 200 in 81ms (compile: 4ms, proxy.ts: 6ms, render: 71ms)
 GET /login 200 in 97ms (compile: 5ms, proxy.ts: 6ms, render: 85ms)
 GET /login 200 in 99ms (compile: 5ms, proxy.ts: 8ms, render: 86ms)
 GET /login 200 in 63ms (compile: 4ms, proxy.ts: 5ms, render: 54ms)
 GET /login 200 in 89ms (compile: 6ms, proxy.ts: 7ms, render: 76ms)
 GET /login 200 in 69ms (compile: 4ms, proxy.ts: 8ms, render: 56ms)
 GET /login 200 in 72ms (compile: 4ms, proxy.ts: 5ms, render: 64ms)
 GET /login 200 in 174ms (compile: 11ms, proxy.ts: 12ms, render: 150ms)
 GET /login 200 in 69ms (compile: 5ms, proxy.ts: 5ms, render: 59ms)
 GET /login 200 in 75ms (compile: 5ms, proxy.ts: 6ms, render: 64ms)
 GET /login 200 in 122ms (compile: 5ms, proxy.ts: 10ms, render: 106ms)
 GET /login 200 in 64ms (compile: 4ms, proxy.ts: 4ms, render: 56ms)
 GET /login 200 in 76ms (compile: 4ms, proxy.ts: 5ms, render: 68ms)
 GET /login 200 in 72ms (compile: 4ms, proxy.ts: 8ms, render: 61ms)
 GET /login 200 in 77ms (compile: 5ms, proxy.ts: 7ms, render: 65ms)
 GET /login 200 in 62ms (compile: 3ms, proxy.ts: 4ms, render: 55ms)
 GET /login 200 in 62ms (compile: 4ms, proxy.ts: 5ms, render: 53ms)
 GET /login 200 in 78ms (compile: 4ms, proxy.ts: 7ms, render: 67ms)
 GET /login 200 in 62ms (compile: 4ms, proxy.ts: 5ms, render: 54ms)
 GET /login 200 in 68ms (compile: 4ms, proxy.ts: 5ms, render: 59ms)
 GET /login 200 in 143ms (compile: 9ms, proxy.ts: 9ms, render: 125ms)
 GET /login 200 in 58ms (compile: 4ms, proxy.ts: 4ms, render: 50ms)
 GET /login 200 in 59ms (compile: 4ms, proxy.ts: 5ms, render: 50ms)
 GET /login 200 in 65ms (compile: 5ms, proxy.ts: 5ms, render: 55ms)
 GET /login 200 in 75ms (compile: 4ms, proxy.ts: 7ms, render: 65ms)
 GET /login 200 in 83ms (compile: 4ms, proxy.ts: 7ms, render: 72ms)
 GET /login 200 in 141ms (compile: 6ms, proxy.ts: 5ms, render: 130ms)
✓ Compiled in 56ms
 GET /login 200 in 367ms (compile: 168ms, proxy.ts: 8ms, render: 191ms)
 GET /login 200 in 65ms (compile: 4ms, proxy.ts: 4ms, render: 58ms)
 GET /login 200 in 69ms (compile: 4ms, proxy.ts: 5ms, render: 61ms)
 GET /login 200 in 159ms (compile: 9ms, proxy.ts: 9ms, render: 141ms)
 GET /login 200 in 74ms (compile: 4ms, proxy.ts: 5ms, render: 65ms)
 GET /login 200 in 98ms (compile: 5ms, proxy.ts: 8ms, render: 85ms)
 GET /login 200 in 136ms (compile: 16ms, proxy.ts: 15ms, render: 105ms)
 GET /login 200 in 114ms (compile: 6ms, proxy.ts: 8ms, render: 100ms)
✓ Compiled in 1459ms
 GET /login 200 in 1433ms (compile: 71ms, proxy.ts: 223ms, render: 1139ms)
 GET / 200 in 2.5s (compile: 595ms, proxy.ts: 11ms, render: 1930ms)
 POST /login 303 in 3.0s (compile: 5ms, proxy.ts: 16ms, render: 3.0s)
 GET /cotizaciones/manual 200 in 3.2s (compile: 2.4s, proxy.ts: 11ms, render: 845ms)
 GET /login 200 in 83ms (compile: 7ms, proxy.ts: 8ms, render: 68ms)
 POST /cotizaciones/manual 303 in 163ms (compile: 14ms, proxy.ts: 13ms, render: 136ms)
 GET /login 200 in 337ms (compile: 20ms, proxy.ts: 23ms, render: 294ms)
✓ Compiled in 128ms
